,gogol_1_ukr,gogol_2_ukr,gogol_3_ukr,gogol_1_rus,gogol_2_rus,gogol_3_rus,gogol_1_auto,gogol_2_auto,gogol_3_auto,nl_1_ukr,nl_2_ukr,nl_3_ukr,nl_1_rus,nl_2_rus,nl_3_rus,nl_1_auto,nl_2_auto,nl_3_auto
gogol_1_ukr,1,0.023809524,0.011904762,0,0,0,0.011904762,0,0,0,0,0,0,0,0,0,0,0
gogol_2_ukr,0.023809524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gogol_3_ukr,0.011904762,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gogol_1_rus,0,0,0,1,0.011904762,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0
gogol_2_rus,0,0,0,0.011904762,1,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0
gogol_3_rus,0,0,0,0,0,1,0,0,0.05952381,0,0,0,0,0,0,0,0,0
gogol_1_auto,0.011904762,0,0,0.095238095,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gogol_2_auto,0,0,0,0,0.095238095,0,0,1,0,0,0,0,0,0,0,0,0,0
gogol_3_auto,0,0,0,0,0,0.05952381,0,0,1,0,0,0,0,0,0,0,0,0
nl_1_ukr,0,0,0,0,0,0,0,0,0,1,0,0,0.011904762,0,0,0.083333333,0,0
nl_2_ukr,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.011904762,0
nl_3_ukr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
nl_1_rus,0,0,0,0,0,0,0,0,0,0.011904762,0,0,1,0.011904762,0,0.333333333,0.011904762,0
nl_2_rus,0,0,0,0,0,0,0,0,0,0,0,0,0.011904762,1,0,0.011904762,0.416666667,0
nl_3_rus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.488095238
nl_1_auto,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0.333333333,0.011904762,0,1,0.011904762,0
nl_2_auto,0,0,0,0,0,0,0,0,0,0,0.011904762,0,0.011904762,0.416666667,0,0.011904762,1,0
nl_3_auto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488095238,0,0,1
